"RecOrigin","RecFlags","RecVrsn","Manufacturer","Model","SysType","UnitType","ClgCap","HtgCap","PowerCode","Series","MixPipeId","VapPipeId","Height","Width","Depth","Weight","MaxPipeLen","MaxPipeHeight"
"CARR","","2042","CARR","40MHHAQ18XA3","H","IW","18000","18000","A","A","0375","0625","13","38","9","24","98","65"
"CARR","","2042","CARR","40MHHAQ24XA3","H","IW","24000","24000","A","A","0375","0625","14","43","9","30","164","82"
"CARR","","2042","CARR","40MHHAQ30XA3","H","IW","30000","30000","A","A","0375","0625","14","50","11","43","164","82"
"CARR","","2042","CARR","40MHHAQ36XA3","H","IW","36000","36000","A","A","0375","0625","14","50","11","43","164","82"
"CARR","","2042","CARR","40MPHBQ09XA3","H","IW","9000","12000","A","A","0250","0375","12","35","10","29","82","33"
"GREE","","2235","GREE","GMV-60WL/C-T(U)","H","OM","60000","64000","A","A","0375","0750","56","37","13","273","492","164"
"GREE","","2235","GREE","GMV-ND05T/E-T(U)","H","IC","5800","6200","A","A","0250","0500","22","22","10","39","394","98"
"GREE","","2235","GREE","GMV-ND06G/B4B-T(U)","H","IW","6000","6000","A","A","0250","0375","8","33","11","24","394","98"
"GREE","","2235","GREE","GMV-ND07C/A-T(U)","H","IW","7500","8500","A","A","0250","0375","9","28","24","35","394","98"
"GREE","","2235","GREE","GMV-ND07G/B4B-T(U)","H","IW","7500","8500","A","A","0250","0375","8","33","11","24","394","98"
"GREE","","2235","GREE","GMV-ND07PHS/B-T(U)","H","ID","7500","8500","A","A","0250","0375","28","28","12","73","394","98"
"GREE","","2235","GREE","GMV-ND07T/C-T(U)","H","IC","7500","8500","A","A","0250","0375","33","33","10","13","394","98"
"GREE","","2235","GREE","GMV-ND07T/E-T(U)","H","IC","7500","8500","A","A","0250","0375","22","22","10","39","394","98"
"GREE","","2235","GREE","GMV-ND07TD/A-T(U)","H","IC","7500","8500","A","A","0250","0375","20","52","12","44","394","98"
"GREE","","2235","GREE","GMV-ND09C/A-T(U)","H","IW","9500","11000","A","A","0250","0375","9","28","24","35","394","98"
"GREE","","2235","GREE","GMV-ND09G/B4B-T(U)","H","IW","9500","10500","A","A","0250","0375","8","33","11","24","394","98"
"DAIK","","1939","DAIK","RX30NMVJUA","H","OS","31400","34800","A","A","0250","0625","29","34","13","133","99","66"
"DAIK","","1939","DAIK","RX36NMVJUA","H","OS","34400","36000","A","A","0250","0625","29","34","13","133","99","66"
"WSF","","1937","WSF","HOM24AA","H","OM","24000","24000","A","A","0375","0500","28","34","12","100","130","70"
"WSF","","1937","WSF","HOM30AA","H","OM","30000","30000","A","A","0375","0500","30","36","12","150","200","90"
"WSF","","1937","WSF","HOM36AA","H","OM","36000","36000","A","A","0375","0500","30","36","12","150","200","90"
"WSF","","1937","WSF","HOM42AA","H","OM","42000","42000","A","A","0375","0500","52","36","12","200","250","100"
"WSF","","1937","WSF","HOM48AA","H","OM","48000","48000","A","A","0500","0625","52","36","12","200","250","100"
"WSF","","1937","WSF","HOM54AA","H","OM","54000","54000","A","A","0500","0625","60","36","14","250","250","100"
"WSF","","1937","WSF","HOM60AA","H","OM","60000","60000","A","A","0500","0625","60","36","14","250","250","100"
"WSF","","1937","WSF","HOS09AA","H","OS","9000","9000","A","A","0250","0375","22","26","12","50","100","50"
"CARR","","2042","CARR","40MPHBQ12XA3","H","IW","12000","12000","A","A","0250","0500","12","35","10","29","82","33"
"CARR","","2042","CARR","40MPHBQ18XA3","H","IW","18000","20000","A","A","0375","0625","15","45","11","44","164","82"
"CARR","","2042","CARR","MAP0367HS-UL","H","OM","36000","40000","A","A","0375","0625","61","40","15","311","492","164"
"CARR","","2042","CARR","MAP0487HS-UL","H","OM","48000","54000","A","A","0375","0625","61","40","15","311","492","164"
"CARR","","2042","CARR","MAP0607HS-UL","H","OM","60000","66000","A","A","0375","0750","61","40","15","311","492","164"
"WSF","","1937","WSF","AOS15AA","A","OS","15000","0","A","A","0250","0375","22","26","12","50","100","50"
"WSF","","1937","WSF","AOS18AA","A","OS","18000","0","A","A","0250","0375","28","34","12","100","130","70"
"WSF","","1937","WSF","AOS24AA","A","OS","24000","0","A","A","0375","0500","28","34","12","100","130","70"
"WSF","","1937","WSF","AOS30AA","A","OS","30000","0","A","A","0375","0500","30","36","12","150","200","90"
"WSF","","1937","WSF","AOS36AA","A","OS","36000","0","A","A","0375","0500","30","36","12","150","200","90"
"WSF","","1937","WSF","AOS42AA","A","OS","42000","0","A","A","0375","0500","52","36","12","200","250","100"
"WSF","","1937","WSF","AOS48AA","A","OS","48000","0","A","A","0500","0625","52","36","12","200","250","100"
"WSF","","1937","WSF","AOS54AA","A","OS","54000","0","A","A","0500","0625","60","36","14","250","250","100"
"WSF","","1937","WSF","AOS60AA","A","OS","60000","0","A","A","0500","0625","60","36","14","250","250","100"
"WSF","","1937","WSF","HIA09AA","H","IA","9000","9000","A","A","0250","0375","40","20","26","130","100","50"
"WSF","","1937","WSF","HIA12AA","H","IA","12000","12000","A","A","0250","0375","40","20","26","130","100","50"
"WSF","","1937","WSF","HIA15AA","H","IA","15000","15000","A","A","0250","0375","40","20","26","130","100","50"
"WSF","","1937","WSF","HIA18AA","H","IA","18000","18000","A","A","0250","0375","48","22","26","150","130","70"
"WSF","","1937","WSF","HIA24AA","H","IA","24000","24000","A","A","0375","0500","48","22","26","150","130","70"
"WSF","","1937","WSF","HIA30AA","H","IA","30000","30000","A","A","0375","0500","58","22","26","190","200","90"
"WSF","","1937","WSF","HIA36AA","H","IA","36000","36000","A","A","0375","0500","58","22","26","190","200","90"
"WSF","","1937","WSF","HIA42AA","H","IA","42000","42000","A","A","0375","0500","58","22","26","190","250","100"
"WSF","","1937","WSF","HIA48AA","H","IA","48000","48000","A","A","0500","0625","58","24","26","210","250","100"
"WSF","","1937","WSF","HIA54AA","H","IA","54000","54000","A","A","0500","0625","58","24","26","210","250","100"
"WSF","","1937","WSF","HIA60AA","H","IA","60000","60000","A","A","0500","0625","58","24","26","210","250","100"
"WSF","","1937","WSF","HIC09AA","H","IC","9000","9000","A","A","0250","0375","10","30","30","40","100","50"
"WSF","","1937","WSF","HIC12AA","H","IC","12000","12000","A","A","0250","0375","10","30","30","40","100","50"
"WSF","","1937","WSF","HIC15AA","H","IC","15000","15000","A","A","0250","0375","10","30","30","40","100","50"
"WSF","","1937","WSF","HIC18AA","H","IC","18000","18000","A","A","0250","0375","10","34","34","44","130","70"
"WSF","","1937","WSF","HIC24AA","H","IC","24000","24000","A","A","0375","0500","10","34","34","44","130","70"
"WSF","","1937","WSF","HIC30AA","H","IC","30000","30000","A","A","0375","0500","10","34","34","48","200","90"
"WSF","","1937","WSF","HIC36AA","H","IC","36000","36000","A","A","0375","0500","12","34","34","55","200","90"
"CARR","","1938","CARR","38MARBQ06AA3","H","OS","6000","6000","A","A","0250","0375","22","30","12","64","82","32"
"CARR","","1938","CARR","38MARBQ09AA3","H","OS","9000","9000","A","A","0250","0375","24","32","13","74","82","32"
"CARR","","1938","CARR","38MARBQ12AA1","H","OS","12000","12000","D","A","0250","0500","24","30","12","67","82","32"
"CARR","","1938","CARR","38MARBQ12AA3","H","OS","12000","12000","A","A","0250","0500","24","32","13","74","82","32"
"CARR","","1938","CARR","38MARBQ18AA3","H","OS","18000","18000","A","A","0250","0500","29","35","13","101","98","65"
"WSF","","1937","WSF","HIC42AA","H","IC","42000","42000","A","A","0375","0500","12","34","34","55","250","100"
"WSF","","1937","WSF","HIC48AA","H","IC","48000","48000","A","A","0500","0625","12","34","34","55","250","100"
"WSF","","1937","WSF","HIC54AA","H","IC","54000","54000","A","A","0500","0625","14","36","36","70","250","100"
"WSF","","1937","WSF","HIC60AA","H","IC","60000","60000","A","A","0500","0625","14","36","36","70","250","100"
"WSF","","1937","WSF","HID09AA","H","ID","9000","9000","A","A","0250","0375","12","36","24","30","100","50"
"WSF","","1937","WSF","HID12AA","H","ID","12000","12000","A","A","0250","0375","12","36","24","30","100","50"
"WSF","","1937","WSF","HID15AA","H","ID","15000","15000","A","A","0250","0375","12","36","24","30","100","50"
"WSF","","1937","WSF","HID18AA","H","ID","18000","18000","A","A","0250","0375","12","40","28","80","130","70"
"WSF","","1937","WSF","HID24AA","H","ID","24000","24000","A","A","0375","0500","12","40","28","80","130","70"
"WSF","","1937","WSF","HOS12AA","H","OS","12000","12000","A","A","0250","0375","22","26","12","50","100","50"
"WSF","","1937","WSF","HOS15AA","H","OS","15000","15000","A","A","0250","0375","22","26","12","50","100","50"
"WSF","","1937","WSF","HOS18AA","H","OS","18000","18000","A","A","0250","0375","28","34","12","100","130","70"
"WSF","","1937","WSF","HOS24AA","H","OS","24000","24000","A","A","0375","0500","28","34","12","100","130","70"
"WSF","","1937","WSF","HOS30AA","H","OS","30000","30000","A","A","0375","0500","30","36","12","150","200","90"
"WSF","","1937","WSF","HOS36AA","H","OS","36000","36000","A","A","0375","0500","30","36","12","150","200","90"
"WSF","","1937","WSF","HOS42AA","H","OS","42000","42000","A","A","0375","0500","52","36","12","200","250","100"
